('Calexico', Decimal('35.82'))
('Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner', Decimal('6.93'))
('Audioslave', Decimal('6.93'))
('Chico Buarque', Decimal('6.93'))
('Peter Tosh', Decimal('6.93'))
('Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker', Decimal('6.93'))
('Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti', Decimal('6.93'))
('Los Lonely Boys', Decimal('6.93'))
("Paul D'Ianno", Decimal('6.93'))
('Cláudio Zoli', Decimal('6.93'))
('Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer', Decimal('6.93'))
('Corinne Bailey Rae', Decimal('6.93'))
('Aquaman', Decimal('6.93'))
('Simply Red', Decimal('6.93'))
('Gilberto Gil', Decimal('6.93'))
('Dread Zeppelin', Decimal('6.93'))
('Pedro Luís & A Parede', Decimal('6.93'))
('Santana Feat. Eric Clapton', Decimal('6.93'))
('Zeca Pagodinho', Decimal('6.93'))
('House Of Pain', Decimal('6.93'))
('Orchestre Révolutionnaire et Romantique & John Eliot Gardiner', Decimal('6.93'))
('Ozzy Osbourne', Decimal('6.93'))
('Joe Satriani', Decimal('6.93'))
('Philharmonia Orchestra & Sir Neville Marriner', Decimal('6.93'))
('Cássia Eller', Decimal('6.93'))
('Luiz Melodia', Decimal('6.93'))
('Edo de Waart & San Francisco Symphony', Decimal('6.93'))
('Yo-Yo Ma', Decimal('6.93'))
('The 12 Cellists of The Berlin Philharmonic', Decimal('6.93'))
('Nação Zumbi', Decimal('6.93'))
('Sir Georg Solti, Sumi Jo & Wiener Philharmoniker', Decimal('5.97'))
('Rush', Decimal('5.94'))
('Billy Cobham', Decimal('5.94'))
('Karsh Kale', Decimal('5.94'))
('Faith No More', Decimal('5.94'))
('Cake', Decimal('5.94'))
('Royal Philharmonic Orchestra & Sir Thomas Beecham', Decimal('5.94'))
('Black Sabbath', Decimal('5.94'))
('Alanis Morissette', Decimal('5.94'))
('Jorge Ben', Decimal('5.94'))
("Aerosmith & Sierra Leone's Refugee Allstars", Decimal('5.94'))
('Whitesnake', Decimal('5.94'))
('Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker', Decimal('5.94'))
('Christina Aguilera featuring BigElf', Decimal('5.94'))
('Ney Matogrosso', Decimal('5.94'))
('Chicago Symphony Orchestra & Fritz Reiner', Decimal('5.94'))
('Sandra De Sá', Decimal('5.94'))
('Barão Vermelho', Decimal('5.94'))
('R.E.M. Feat. Kate Pearson', Decimal('5.94'))
('Hermeto Pascoal', Decimal('5.94'))
('Djavan', Decimal('5.94'))
('Sergei Prokofiev & Yuri Temirkanov', Decimal('5.94'))
("The King's Singers", Decimal('5.94'))
('R.E.M.', Decimal('5.94'))
('The Office', Decimal('5.94'))
('Bebel Gilberto', Decimal('5.94'))
('Nega Gizza', Decimal('5.94'))
('Marvin Gaye', Decimal('5.94'))
('Choir Of Westminster Abbey & Simon Preston', Decimal('5.94'))
('Smashing Pumpkins', Decimal('5.94'))
('João Suplicy', Decimal('5.94'))
('Scorpions', Decimal('5.94'))
('Jimi Hendrix', Decimal('5.94'))
('R.E.M. Feat. KRS-One', Decimal('5.94'))
('Jorge Vercilo', Decimal('5.94'))
('Passengers', Decimal('5.94'))
('Michael Tilson Thomas & San Francisco Symphony', Decimal('5.94'))
('Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart', Decimal('4.95'))
('Santana Feat. Eagle-Eye Cherry', Decimal('4.95'))
('Santana Feat. Lauryn Hill & Cee-Lo', Decimal('4.95'))
('The Tea Party', Decimal('4.95'))
('The Who', Decimal('4.95'))
('Bruce Dickinson', Decimal('4.95'))
('Santana Feat. Everlast', Decimal('4.95'))
('Dhani Harrison & Jakob Dylan', Decimal('4.95'))
('System Of A Down', Decimal('4.95'))
('Mela Tenenbaum, Pro Musica Prague & Richard Kapp', Decimal('4.95'))
('Eric Clapton', Decimal('4.95'))
('Motörhead', Decimal('4.95'))
('Terry Bozzio, Tony Levin & Steve Stevens', Decimal('4.95'))
('English Concert & Trevor Pinnock', Decimal('4.95'))
('Jota Quest', Decimal('4.95'))
('Deep Purple', Decimal('4.95'))
('Frank Sinatra', Decimal('4.95'))
('Legião Urbana', Decimal('4.95'))
('Lulu Santos', Decimal('4.95'))
('João Gilberto', Decimal('4.95'))
('Pearl Jam', Decimal('4.95'))
('Berliner Philharmoniker, Claudio Abbado & Sabine Meyer', Decimal('4.95'))
("Jack's Mannequin & Mick Fleetwood", Decimal('4.95'))
('O Terço', Decimal('4.95'))
('Black Label Society', Decimal('4.95'))
('Dennis Chambers', Decimal('4.95'))
('Judas Priest', Decimal('4.95'))
('Otto Klemperer & Philharmonia Orchestra', Decimal('3.98'))
('Academy of St. Martin in the Fields & Sir Neville Marriner', Decimal('3.96'))
('Edson, DJ Marky & DJ Patife Featuring Fernanda Porto', Decimal('3.96'))
('Planet Hemp', Decimal('3.96'))
('Baby Consuelo', Decimal('3.96'))
('Santana Feat. Maná', Decimal('3.96'))
('Santana Feat. Rob Thomas', Decimal('3.96'))
('Body Count', Decimal('3.96'))
('Marisa Monte', Decimal('3.96'))
('Santana Feat. The Project G&B', Decimal('3.96'))
('Michele Campanella', Decimal('3.96'))
('Lenny Kravitz', Decimal('3.96'))
('Miles Davis', Decimal('3.96'))
('Gerald Moore', Decimal('3.96'))
('Xis', Decimal('3.96'))
('Gustavo & Andres Veiga & Salazar', Decimal('3.96'))
('Santana Feat. Dave Matthews', Decimal('3.96'))
('A Cor Do Som', Decimal('3.96'))
('The Posies', Decimal('3.96'))
('BackBeat', Decimal('3.96'))
('Habib Koité and Bamada', Decimal('2.97'))
('Matisyahu', Decimal('2.97'))
('Aerosmith', Decimal('2.97'))
('Buddy Guy', Decimal('2.97'))
('The Black Crowes', Decimal('2.97'))
('Santana', Decimal('2.97'))
('Aisha Duo', Decimal('2.97'))
('Caetano Veloso', Decimal('1.98'))
('The Clash', Decimal('1.98'))
('Snow Patrol', Decimal('1.98'))
('Accept', Decimal('1.98'))
('Kid Abelha', Decimal('1.98'))
('Godsmack', Decimal('1.98'))
('Led Zeppelin', Decimal('1.98'))
('Nash Ensemble', Decimal('0.99'))
('Jack Johnson', Decimal('0.99'))
('Metallica', Decimal('0.99'))
('Amy Winehouse', Decimal('0.99'))
('Ben Harper', Decimal('0.99'))
('Martin Roscoe', Decimal('0.99'))
('Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir', Decimal('0.99'))
('Julian Bream', Decimal('0.99'))
